requested_seconds,http_code,time_total_sec,curl_exit_code,started_utc,ended_utc
60,200,61.425287,0,2026-07-01T08:43:49Z,2026-07-01T08:44:50Z
180,200,180.646660,0,2026-07-01T08:45:05Z,2026-07-01T08:48:06Z
210,200,210.802651,0,2026-07-01T08:48:21Z,2026-07-01T08:51:52Z
220,200,220.840205,0,2026-07-01T08:52:07Z,2026-07-01T08:55:48Z
225,200,225.751277,0,2026-07-01T08:56:03Z,2026-07-01T08:59:49Z
240,500,230.688024,0,2026-07-01T09:00:04Z,2026-07-01T09:03:55Z
300,500,230.714654,0,2026-07-01T09:04:14Z,2026-07-01T09:08:05Z
360,500,230.682930,0,2026-07-01T09:09:24Z,2026-07-01T09:13:15Z
