1,200,0.783594
2,200,0.760036
3,200,0.953263
4,200,0.803848
5,200,0.852652
6,200,0.840117
7,200,0.832355
8,200,0.776408
9,200,0.789766
10,200,0.827188
11,200,0.809981
12,200,0.773154
13,200,0.767358
14,200,0.851570
15,200,0.926341
16,200,0.849661
17,200,0.849116
18,200,0.867661
19,200,0.788183
20,200,0.793318
21,200,0.866298
22,200,0.892125
23,200,0.814213
24,200,0.815670
25,200,0.815209
26,200,0.767213
27,200,0.923098
28,200,1.025879
29,200,0.900148
30,200,0.776347
31,200,0.906981
32,200,0.824835
33,200,0.903594
34,200,0.748108
35,200,0.767482
36,200,0.857092
37,200,0.781980
38,200,0.834049
39,200,0.934981
40,200,0.825775
41,200,0.920486
42,200,0.876317
43,200,0.776896
44,200,1.044010
45,200,0.858283
46,200,0.807431
47,200,0.863016
48,200,1.366292
49,200,0.809853
50,200,0.929543
51,200,0.959347
52,200,0.795162
53,200,1.066597
54,200,0.777220
55,200,0.870757
56,200,0.885703
57,200,0.966598
58,200,0.965179
59,200,0.823226
60,200,0.821100
61,200,1.024324
62,200,0.846070
63,200,0.981455
64,200,0.821581
65,200,0.778656
66,200,0.967818
67,200,1.030636
68,200,0.843854
69,200,0.936143
70,200,1.408329
71,200,1.999072
72,200,1.788138
73,200,0.806595
74,200,0.906192
75,200,0.917890
76,200,0.861980
77,200,0.787266
78,200,0.837862
79,200,0.945409
80,200,0.814811
81,200,0.996487
82,200,1.084790
83,200,1.558123
84,200,0.857137
85,200,1.472251
86,200,0.878361
87,200,0.952907
88,200,0.897395
89,200,1.739777
90,200,1.783563
91,200,1.758493
92,200,1.680050
93,200,2.309305
94,200,3.010348
95,200,1.023407
96,200,3.317367
97,200,0.886974
98,200,0.955240
99,200,0.845884
100,200,1.017317
