1,000,60.0002131,000,0
2,200,36.500380
3,200,53.071651
4,200,37.233900
5,000,60.0000175,000,0
6,000,60.0000276,000,0
7,200,57.227848
8,200,31.967409
9,000,59.9991789,000,0
10,200,53.312714
11,200,51.064652
12,000,60.00016912,000,0
13,000,60.00045513,000,0
14,200,32.898595
15,000,59.99988515,000,0
16,000,60.00026816,000,0
17,000,60.00340017,000,0
18,000,60.00070718,000,0
19,000,59.99999119,000,0
20,000,60.00024420,000,0
21,000,60.00056221,000,0
22,000,60.00078622,000,0
23,000,60.00103923,000,0
24,000,59.99997724,000,0
25,000,60.00044925,000,0
26,000,60.00058626,000,0
27,000,59.99999627,000,0
28,000,60.00023128,000,0
29,000,59.99977029,000,0
30,000,60.00029930,000,0
